date,Heurelocale,Température,Humidité,Windchill,Vent,Pression,Précip.
1/1/2017,0,-3.6,73,-7.3,9,1029.7,0
1/1/2017,1,-3.9,72,-8.2,11,1028.9,0
1/1/2017,2,-3.7,72,-6.7,7,1028.1,0
1/1/2017,3,-3.7,72,-6.2,6,1027.5,0
1/1/2017,4,-3.9,71,-6.5,6,1027,0
1/1/2017,5,-4,71,-7.7,9,1026.3,0
1/1/2017,6,-4.2,69,-8,9,1025.4,0
1/1/2017,7,-4.2,70,-8,9,1024.8,0
1/1/2017,8,-4.1,68,-8.5,11,1024.5,0
1/1/2017,9,-3.9,71,-8.7,13,1024.2,0
1/1/2017,10,-3.5,71,-9.1,17,1023.6,0
1/1/2017,11,-3,71,-6.6,9,1023.7,0
1/1/2017,12,-2.1,76,-7,15,1022.9,0
1/1/2017,13,-1.5,76,-5.4,11,1021.9,0
1/1/2017,14,-1,72,-5.2,13,1021.4,0
1/1/2017,15,-0.8,71,-4.5,11,1021.4,0
1/1/2017,16,-0.8,71,-5,13,1021.1,0
1/1/2017,17,-0.6,71,-3.7,9,1021.3,0
1/1/2017,18,-0.6,72,-4.3,11,1021.5,0
1/1/2017,19,-0.6,73,-4.3,11,1021.7,0
1/1/2017,20,-0.6,71,-4.3,11,1021.9,0
1/1/2017,21,-0.5,72,-4.2,11,1022.1,0
1/1/2017,22,-0.4,70,-2.9,7,1022.5,0
1/1/2017,23,-0.1,71,-2.5,7,1022.5,0
2/1/2017,0,0.2,71,-2.2,7,1022.8,0.2
2/1/2017,1,0.4,71,-1.9,7,1022.8,0
2/1/2017,2,0.6,73,-2.3,9,1022.6,0
2/1/2017,3,0.7,69,-1.2,6,1022.9,0
2/1/2017,4,0.9,69,-1,6,1022.7,0
2/1/2017,5,1,71,-0.9,6,1022.8,0
2/1/2017,6,1,69,1,0,1023.3,0
2/1/2017,7,1.4,69,0.5,4,1023.8,0
2/1/2017,8,1.6,72,-0.6,7,1023.6,0
2/1/2017,9,1.7,70,1.7,2,1024,0
2/1/2017,10,2.4,71,0.7,6,1024.8,0
2/1/2017,11,2.4,71,0.4,7,1025.5,0.6
2/1/2017,12,1.8,69,-1.4,11,1026.1,1
2/1/2017,13,2.2,69,-1.4,13,1025.9,0
2/1/2017,14,2.2,68,-1.4,13,1026.2,0
2/1/2017,15,2.8,69,0.8,7,1026.7,0
2/1/2017,16,2.4,67,-0.2,9,1027.1,0
2/1/2017,17,2,68,-0.7,9,1027.8,0
2/1/2017,18,2.1,68,0,7,1027.8,0
2/1/2017,19,1.7,67,-0.4,7,1028.4,0
2/1/2017,20,1.6,67,-1.2,9,1029,0
2/1/2017,21,1.9,67,0.1,6,1029.6,0
2/1/2017,22,1.8,67,0,6,1029.8,0
