date,Heurelocale,Température,Humidité,Windchill,Vent,Pression,Précip.
1/1/2010,0,1.4,90,-3.3,19,995.6,0
1/1/2010,1,1.4,91,-2.7,15,995.4,0
1/1/2010,2,1.1,93,-3.1,15,995.1,0
1/1/2010,3,1.3,83,-3.5,19,995.4,0
1/1/2010,4,0.9,81,-4.1,20,995.3,0
1/1/2010,5,0.5,84,-3.8,15,995.5,0
1/1/2010,6,0.5,81,-4.6,20,996,0
1/1/2010,7,0.4,86,-4.7,20,996.4,0
1/1/2010,8,0.5,82,-4.5,19,997.1,0
1/1/2010,9,0.6,81,-4.5,20,997.7,0
1/1/2010,10,0.7,78,-4.2,19,998.8,0
1/1/2010,11,0.7,75,-4.6,22,999.7,0
1/1/2010,12,1,72,-3.8,19,1000.3,0
1/1/2010,13,1,75,-3.8,19,1000.9,0
1/1/2010,14,1.1,73,-4.1,22,1001.9,0
1/1/2010,15,1.1,73,-3.7,19,1002.9,0
1/1/2010,16,1.3,69,-3.2,17,1004.2,0
1/1/2010,17,1.4,63,-2.7,15,1005.6,0
1/1/2010,18,1.2,65,-2.6,13,1006.7,0
1/1/2010,19,1.2,62,-2.6,13,1007.9,0
1/1/2010,20,1.2,61,-2.6,13,1008.9,0
1/1/2010,21,1,60,-2.8,13,1009.9,0
1/1/2010,22,0.8,64,-1.1,6,1010.8,0
1/1/2010,23,0.7,67,-1.6,7,1011.6,0
2/1/2010,0,0.4,73,-2.6,9,1012.3,0
2/1/2010,1,0.5,76,-1.8,7,1013.2,0
2/1/2010,2,-0.2,80,-2.6,7,1013.7,0
2/1/2010,3,-0.4,85,-2.5,6,1014.4,0
2/1/2010,4,0.1,84,-2.9,9,1014.9,0
2/1/2010,5,0.2,83,-2.2,7,1015.3,0
2/1/2010,6,-0.2,84,-2.6,7,1015.8,0
2/1/2010,7,-0.5,84,-3,7,1016.3,0
2/1/2010,8,-1,87,-3.2,6,1016.6,0
2/1/2010,9,-0.9,87,-3.1,6,1017.4,0
2/1/2010,10,0.7,72,-2.2,9,1018.4,0
2/1/2010,11,1.2,66,-1.6,9,1019.1,0
2/1/2010,12,1.8,66,-0.9,9,1019.3,0
2/1/2010,13,2.6,63,-1.2,15,1019.5,0
2/1/2010,14,3.6,64,0.3,13,1019.7,0
2/1/2010,15,3,73,0,11,1019.9,0
2/1/2010,16,2.9,75,0.4,9,1020.6,0
2/1/2010,17,2.4,77,-0.2,9,1020.7,0
