date,Heurelocale,Température,Humidité,Windchill,Vent,Pression,Précip.
1/1/2015,0,1.6,83,-0.2,6,1037.8,0
1/1/2015,1,1.3,85,0.4,4,1037.7,0
1/1/2015,2,1.1,85,0.1,4,1037.4,0
1/1/2015,3,0.6,88,-0.4,4,1037.9,0
1/1/2015,4,0.3,86,0.3,2,1037.8,0
1/1/2015,5,-0.1,88,-2.1,6,1037.3,0
1/1/2015,6,-0.2,89,-2.3,6,1037.6,0
1/1/2015,7,-0.5,90,-0.5,2,1038.2,0
1/1/2015,8,0,89,-2,6,1038.1,0
1/1/2015,9,-0.5,87,-2.6,6,1038.3,0
1/1/2015,10,0.4,86,-1.6,6,1038.4,0
1/1/2015,11,1.8,78,0,6,1038.6,0
1/1/2015,12,3,72,0.5,9,1037.7,0
1/1/2015,13,4.9,62,3.3,7,1037.6,0
1/1/2015,14,6.1,57,3.7,11,1036.5,0
1/1/2015,15,5.6,61,4.1,7,1036.1,0
1/1/2015,16,5.6,59,3.1,11,1035.8,0
1/1/2015,17,4.7,64,2,11,1035.6,0
1/1/2015,18,4,68,1.2,11,1035.6,0
1/1/2015,19,3.6,72,1.8,7,1035.4,0
1/1/2015,20,3.5,73,1.6,7,1035.6,0
1/1/2015,21,3.5,72,0.6,11,1034.9,0
1/1/2015,22,3.1,73,0.1,11,1034.5,0
1/1/2015,23,2.9,73,0.9,7,1034,0
2/1/2015,0,3.5,70,0.2,13,1033.5,0
2/1/2015,1,3.5,68,0.6,11,1033.4,0
2/1/2015,2,3.6,70,1.2,9,1032.8,0
2/1/2015,3,4,74,1.7,9,1032.3,0
2/1/2015,4,4.5,76,1.1,15,1031.8,0
2/1/2015,5,5.2,81,1.4,19,1030.9,0
2/1/2015,6,4.9,86,2.7,9,1030.8,0
2/1/2015,7,5.4,90,2.2,15,1031,0
2/1/2015,8,5.4,90,1.9,17,1031.2,0
2/1/2015,9,5.6,92,2.8,13,1032,0
2/1/2015,10,5.8,92,3.4,11,1032.7,0
2/1/2015,11,6.3,92,4.4,9,1033.5,0
2/1/2015,12,6.9,92,5.8,6,1033.7,0
2/1/2015,13,8.6,91,7.5,7,1034,0
2/1/2015,14,10.1,83,9.3,7,1033.5,0
2/1/2015,15,10.5,72,8.7,13,1033.8,0
2/1/2015,16,10.2,59,9,9,1034.8,0
2/1/2015,17,9.5,58,8.8,6,1035.8,0
2/1/2015,18,8.7,58,7.2,9,1036.4,0
2/1/2015,19,7.8,60,6.9,6,1037.1,0
2/1/2015,20,7.6,65,6.6,6,1037.6,0
2/1/2015,21,6.7,71,5.6,6,1037.5,0
2/1/2015,22,4.8,80,3.1,7,1037.6,0
2/1/2015,23,3.3,87,1.7,6,1037.6,0
3/1/2015,0,3,88,1.1,7,1036.8,0
3/1/2015,1,2.5,89,0.5,7,1036.7,0
3/1/2015,2,1.8,92,-0.9,9,1036.1,0
3/1/2015,3,0.7,95,-2.7,11,1035.8,0
3/1/2015,4,1.6,98,-1.7,11,1034.9,0
3/1/2015,5,2,97,0.3,6,1033.7,0
3/1/2015,6,3,98,-0.4,13,1031.9,0
3/1/2015,7,3.4,97,0.5,11,1030.2,0
3/1/2015,8,3.5,96,1.1,9,1029.5,0
3/1/2015,9,3.9,97,1.5,9,1027.9,1
3/1/2015,10,4.3,96,1.2,13,1026.3,0.6
3/1/2015,11,5.6,97,2.8,13,1024.6,0
3/1/2015,12,8.5,95,5.7,17,1023.6,0
3/1/2015,13,10,93,7.4,19,1022.4,0.2
3/1/2015,14,11.3,94,9,19,1021.6,0.4
3/1/2015,15,12.4,92,10.3,20,1020.7,0.6
3/1/2015,16,13.1,87,10.7,26,1020.5,0.2
3/1/2015,17,13.2,85,10.6,30,1021,0.4
3/1/2015,18,13.1,82,11.6,15,1021.8,0
3/1/2015,19,12.9,82,10.7,22,1022.3,0
3/1/2015,20,12.2,87,10.5,15,1023.1,0.2
3/1/2015,21,12.5,84,11.1,13,1024,0
3/1/2015,22,12.2,88,10.5,15,1024.9,0
