date,Heurelocale,Température,Humidité,Windchill,Vent,Pression,Précip.
1/1/2011,0,0,85,-2,6,1025.9,0
1/1/2011,1,0.1,86,-1,4,1025.6,0
1/1/2011,2,0.2,86,-0.9,4,1025.1,0
1/1/2011,3,0.2,86,-1.8,6,1024.9,0
1/1/2011,4,0,85,0,2,1024.9,0
1/1/2011,5,0,85,-2.4,7,1024.7,0
1/1/2011,6,-0.3,87,-2.4,6,1024.8,0
1/1/2011,7,0.1,86,-1,4,1024.7,0
1/1/2011,8,0.4,87,-0.6,4,1024.9,0
1/1/2011,9,0.7,86,-0.3,4,1025.2,0
1/1/2011,10,0.9,85,0.9,2,1025.5,0
1/1/2011,11,1.2,87,1.2,2,1025.3,0
1/1/2011,12,1.8,86,1.8,0,1025.1,0
1/1/2011,13,2.1,87,0.4,6,1024.7,0
1/1/2011,14,2.3,87,0.6,6,1024,0
1/1/2011,15,2.6,86,0.9,6,1023.8,0
1/1/2011,16,2.7,85,1.9,4,1024,0
1/1/2011,17,2.7,85,0.7,7,1024.2,0
1/1/2011,18,2.3,87,0.6,6,1024.3,0
1/1/2011,19,2.4,87,0.7,6,1024.1,0
1/1/2011,20,2.7,87,1.1,6,1024.2,0
1/1/2011,21,2.6,88,0.9,6,1024.2,0
1/1/2011,22,2.7,89,1.1,6,1024.3,0
1/1/2011,23,2.8,89,0.3,9,1024.3,0
2/1/2011,0,2.9,90,0.4,9,1024.3,0
2/1/2011,1,3,91,0,11,1024.3,0
2/1/2011,2,3.3,91,1.4,7,1024.1,0
2/1/2011,3,3.4,90,1,9,1024.4,0
2/1/2011,4,3.4,89,-0.3,15,1024.6,0
2/1/2011,5,3.4,88,0.5,11,1024.8,0
2/1/2011,6,3.3,87,1.4,7,1025,0
2/1/2011,7,3.2,84,-0.1,13,1025.3,0
2/1/2011,8,3.2,82,0.7,9,1025.4,0
2/1/2011,9,3,83,0,11,1025.9,0
2/1/2011,10,3.1,83,1.2,7,1026.5,0
2/1/2011,11,3.4,79,1,9,1027.1,0
2/1/2011,12,3.8,74,1,11,1027.1,0
2/1/2011,13,4.2,69,1.4,11,1026.9,0
2/1/2011,14,4.3,72,1.6,11,1026.6,0
2/1/2011,15,4.4,71,1.7,11,1026.5,0
2/1/2011,16,4,69,0.5,15,1026.8,0
2/1/2011,17,3.1,69,0.1,11,1027,0
2/1/2011,18,2.8,68,-0.6,13,1027.4,0
2/1/2011,19,2.2,75,0.1,7,1027.5,0
2/1/2011,20,2.1,78,-1.1,11,1027.9,0
2/1/2011,21,2.3,78,-0.3,9,1027.9,0
2/1/2011,22,2.6,78,1.8,4,1027.8,0
2/1/2011,23,2.7,78,1.1,6,1027.8,0
3/1/2011,0,2.5,80,0.5,7,1027.9,0
3/1/2011,1,2.7,78,0.7,7,1027.7,0
3/1/2011,2,2.7,78,0.7,7,1027.4,0
3/1/2011,3,2.5,80,-0.1,9,1027.4,0
3/1/2011,4,2.5,80,0.8,6,1027.3,0
3/1/2011,5,2.4,81,0.4,7,1027.1,0
3/1/2011,6,2.1,80,0.4,6,1026.9,0
3/1/2011,7,2.2,81,1.4,4,1026.6,0
3/1/2011,8,2.4,81,2.4,2,1026.5,0
3/1/2011,9,2.3,81,1.5,4,1026.6,0
3/1/2011,10,2.2,81,0.5,6,1026.7,0
3/1/2011,11,N/A,N/A,N/A,N/A,N/A
3/1/2011,12,N/A,N/A,N/A,N/A,N/A
3/1/2011,13,N/A,N/A,N/A,N/A,N/A
3/1/2011,14,N/A,N/A,N/A,N/A,N/A
3/1/2011,15,3.8,55,2.3,6,1025,0
3/1/2011,16,3.4,57,1.9,6,1024.7,0
3/1/2011,17,3,55,0.5,9,1024.4,0
3/1/2011,18,2.6,55,1.8,4,1024.2,0
3/1/2011,19,2.1,56,2.1,2,1024,0
3/1/2011,20,2.7,62,1.9,4,1024.2,0
3/1/2011,21,2.6,58,0.9,6,1024,0
3/1/2011,22,2.1,62,1.3,4,1023.6,0
3/1/2011,23,1.9,71,1,4,1023.5,0
4/1/2011,0,1.4,75,0.5,4,1023.1,0
4/1/2011,1,1.3,75,-0.5,6,1022.8,0
4/1/2011,2,0.8,81,-1.1,6,1022.3,0
4/1/2011,3,0.4,81,-0.6,4,1022,0
4/1/2011,4,0.4,82,-1.6,6,1021.5,0
4/1/2011,5,0.4,84,-1.6,6,1021,0
4/1/2011,6,0.2,84,-2.8,9,1020.6,0
4/1/2011,7,-0.6,87,-4.3,11,1020.5,0
4/1/2011,8,-0.6,88,-3.7,9,1020.3,0
4/1/2011,9,-0.6,89,-4.3,11,1020.5,0
4/1/2011,10,-0.4,87,-4,11,1020.2,0
4/1/2011,11,-0.1,84,-3.7,11,1020.1,0
4/1/2011,12,0.4,81,-3.1,11,1019.4,0
4/1/2011,13,0.8,78,-2.6,11,1018.8,0
4/1/2011,14,0.7,77,-3.6,15,1018.2,0
4/1/2011,15,0.9,74,-2.5,11,1018,0
4/1/2011,16,0.9,73,-2,9,1017.7,0
4/1/2011,17,0.6,75,-2.9,11,1017.2,0
4/1/2011,18,0.5,77,-3.8,15,1017,0
4/1/2011,19,0.4,79,-3.5,13,1016.7,0
4/1/2011,20,0.3,80,-4,15,1016.4,0
4/1/2011,21,0.2,80,-3.3,11,1016,0
4/1/2011,22,0.3,80,-4.4,17,1015.8,0
4/1/2011,23,0.2,80,-3.3,11,1015.8,0
5/1/2011,0,0.1,80,-3.9,13,1015.7,0
5/1/2011,1,0,80,-3,9,1014.9,0
5/1/2011,2,-0.1,80,-3.2,9,1014.4,0
5/1/2011,3,-0.1,80,-3.7,11,1014.1,0
5/1/2011,4,0.1,78,-2.3,7,1013.5,0
5/1/2011,5,0.1,77,-2.9,9,1012.7,0
5/1/2011,6,-0.7,80,-4.4,11,1012.1,0
5/1/2011,7,-0.9,81,-5.5,15,1011.6,0
5/1/2011,8,-1,81,-5.6,15,1011.2,0
5/1/2011,9,-1.2,82,-5.5,13,1010.9,0
5/1/2011,10,-0.6,76,-4.3,11,1010.4,0
5/1/2011,11,0.5,70,-3,11,1009.8,0
5/1/2011,12,1.5,68,-3.2,19,1009.1,0
5/1/2011,13,2.3,63,-1.2,13,1007.7,0
5/1/2011,14,2.8,65,-0.2,11,1006.7,0
5/1/2011,15,2.7,75,-1.1,15,1006,0
5/1/2011,16,2.9,77,-1.2,17,1005.4,0
5/1/2011,17,2.7,86,-1.1,15,1004.7,0
5/1/2011,18,2.9,88,-0.9,15,1004.2,0
5/1/2011,19,3.6,85,-0,15,1003.6,0
5/1/2011,20,4,84,0.2,17,1002.8,0.2
5/1/2011,21,4.3,91,0.8,15,1001.7,2
5/1/2011,22,4.8,92,1.5,15,1000.9,1
5/1/2011,23,5.7,92,2.9,13,1000.1,1
6/1/2011,0,6.6,93,3.4,17,998.7,4
6/1/2011,1,7.1,93,4,17,998.1,3
6/1/2011,2,8.4,93,5.1,22,997.7,2
6/1/2011,3,9.2,91,6.1,22,998,0.2
6/1/2011,4,9.8,89,7,20,998.7,0
6/1/2011,5,9.6,89,6.9,19,998.9,0
6/1/2011,6,9.3,90,6.5,19,998.8,0.8
6/1/2011,7,9.2,90,6.4,19,998.5,0.4
6/1/2011,8,9.2,88,6.3,20,998.5,0
6/1/2011,9,9.2,89,6.3,20,998.6,0.4
6/1/2011,10,9.4,90,6.6,19,998.9,0.6
6/1/2011,11,9.6,90,7.1,17,998.6,2
6/1/2011,12,10.2,89,7.6,19,997.7,1
6/1/2011,13,10.7,87,7.5,28,997.3,0
6/1/2011,14,11.3,85,8.4,26,997.1,0
6/1/2011,15,11.5,86,8.7,26,997.1,0
6/1/2011,16,11.9,85,9,28,997.6,0
