date,Heurelocale,Température,Humidité,Windchill,Vent,Pression,Précip.
1/1/2008,0,5.6,93,5.1,4,1028.8,0
1/1/2008,1,5.5,94,3.7,8,1028.4,0
1/1/2008,2,5.4,94,4.9,4,1028.1,0
1/1/2008,3,5.3,95,3.7,7,1027.6,0
1/1/2008,4,5.3,95,4.8,4,1027.1,0
1/1/2008,5,5.2,95,4.7,4,1026.5,0
1/1/2008,6,5.2,95,3.6,7,1026.1,0
1/1/2008,7,5.2,95,4.7,4,1025.9,0
1/1/2008,8,5,95,4.5,4,1025.5,0
1/1/2008,9,5,95,3.4,7,1025.2,0
1/1/2008,10,5,95,4.5,4,1025.1,0
1/1/2008,11,5.1,95,3.5,7,1025,0
1/1/2008,12,5.3,92,4.8,4,1024.5,0
1/1/2008,13,5.8,88,4,8,1024.0,0
1/1/2008,14,6,85,3.6,11,1023.2,0
1/1/2008,15,6.1,83,4.6,7,1022.7,0
1/1/2008,16,5.8,83,4,8,1022.5,0
1/1/2008,17,5.4,83,3.8,7,1022.5,0
1/1/2008,18,4.7,85,3,7,1022.4,0
1/1/2008,19,3.6,87,0.7,11,1022.3,0
1/1/2008,20,2.5,89,0.5,7,1022.4,0
1/1/2008,21,2,91,-1.2,11,1022.2,0
1/1/2008,22,1.2,92,-2.1,11,1021.8,0
1/1/2008,23,0.4,92,-3.1,11,1021.7,0
2/1/2008,0,0.8,93,-2.6,11,1021.2,0
2/1/2008,1,1.3,92,-1.2,8,1020.7,0
2/1/2008,2,1.5,91,-1.8,11,1020.1,0
2/1/2008,3,1.7,87,-3,19,1019.9,0
2/1/2008,4,1.3,85,-2.8,15,1019.2,0
2/1/2008,5,0.9,83,-3.3,15,1018.9,0
2/1/2008,6,0.4,82,-3.9,15,1018.6,0
2/1/2008,7,0.4,81,-3.1,11,1018.4,0
2/1/2008,8,0.5,78,-3,11,1017.6,0
2/1/2008,9,0.3,77,-4,15,1017,0
2/1/2008,10,0.3,79,-4,15,1016.5,0
2/1/2008,11,1.2,75,-2.1,11,1016.3,0
2/1/2008,12,1.3,71,-3.5,19,1015.3,0
2/1/2008,13,2.7,65,-0.3,11,1014.2,0
2/1/2008,14,2,68,-0.1,7,1013,0
2/1/2008,15,2,68,-1.2,11,1012.3,0
2/1/2008,16,1.1,70,-3.1,15,1011.7,0
2/1/2008,17,0.6,71,-3.7,15,1011.3,0
2/1/2008,18,0.3,71,-4,15,1010.6,0
2/1/2008,19,0.2,72,-3.3,11,1010.1,0
2/1/2008,20,0,72,-3.6,11,1009.6,0
2/1/2008,21,-0.3,73,-3.9,11,1008.8,0
2/1/2008,22,-0.5,75,-4.2,11,1008.1,0
2/1/2008,23,-0.8,76,-3.3,7,1007.4,0
3/1/2008,0,-1,76,-3.6,7,1006.9,0
3/1/2008,1,-1.3,78,-4.3,8,1006.1,0
3/1/2008,2,-1.4,79,-4,7,1005.3,0
3/1/2008,3,-0.9,76,-3.4,7,1004.4,0
3/1/2008,4,-0.8,78,-4.5,11,1003.6,0
3/1/2008,5,-0.7,79,-4.4,11,1002.7,0
3/1/2008,6,-0.6,85,-4.3,11,1002,0
3/1/2008,7,-0.3,88,-3.1,8,1001.3,0
3/1/2008,8,0.2,89,-2.2,7,1000.6,0
3/1/2008,9,0.6,90,-0.4,4,1000.4,0
3/1/2008,10,1.2,93,-1,7,999.8,0.2
3/1/2008,11,1.9,93,-0.2,7,999.8,0
3/1/2008,12,2.6,92,0.6,7,999.2,0
3/1/2008,13,3.6,91,1.5,8,998.5,0
3/1/2008,14,4.2,90,2.4,7,998.2,0
3/1/2008,15,4.6,87,1.9,11,998,0
3/1/2008,16,4.9,87,2.3,11,998,0
3/1/2008,17,5,87,2.4,11,998.8,0
3/1/2008,18,4.5,88,1.8,11,999.3,0
3/1/2008,19,4.3,87,2.3,8,999.5,0
3/1/2008,20,4.2,87,2.4,7,1000,0
