date,Heurelocale,Température,Humidité,Windchill,Vent,Pression,Précip.
1/1/2009,0,1.6,82,-0.6,7,1027.8,0
1/1/2009,1,1.6,87,0.2,5,1027.9,0
1/1/2009,2,1.6,89,0.7,4,1028.2,0
1/1/2009,3,1.7,90,-0.1,6,1028.5,0
1/1/2009,4,1.7,91,1.7,2,1028.7,0
1/1/2009,5,2,91,0.3,6,1028.6,0
1/1/2009,6,2.1,89,0.4,6,1028.4,0
1/1/2009,7,1.9,86,-0.5,8,1028.7,0
1/1/2009,8,2,86,0.3,6,1029.1,0
1/1/2009,9,1.9,88,-0.5,8,1029.5,0
1/1/2009,10,1.8,88,-1.4,11,1029.5,0
1/1/2009,11,1.7,90,-1.5,11,1029.6,0
1/1/2009,12,1.7,90,-0.4,7,1029.3,0
1/1/2009,13,1.6,88,-0.9,8,1029.2,0
1/1/2009,14,1.2,89,-1,7,1028.8,0
1/1/2009,15,1,89,-1.2,7,1028.4,0
1/1/2009,16,0.3,89,-3.7,13,1028.5,0
1/1/2009,17,0.1,89,-2.9,9,1028.4,0
1/1/2009,18,-0.4,88,-4,11,1028.4,0
1/1/2009,19,-0.8,88,-4,9,1028.7,0
1/1/2009,20,-1.1,87,-3.3,6,1028.6,0
1/1/2009,21,-1.4,87,-3.6,6,1028.5,0
1/1/2009,22,-1.5,87,-3.7,6,1028.1,0
1/1/2009,23,-1.7,89,-4,6,1027.9,0
2/1/2009,0,-1.7,89,-4,6,1027.7,0
2/1/2009,1,-2.2,88,-5.3,8,1027.5,0
2/1/2009,2,-2.4,89,-3.7,4,1027.1,0
2/1/2009,3,-2.6,89,-5,6,1027.1,0
2/1/2009,4,-2.7,90,-5.5,7,1027,0
2/1/2009,5,-2.6,90,-5.4,7,1026.8,0
2/1/2009,6,-2.8,91,-6.9,11,1026.7,0
2/1/2009,7,-2.9,90,-6.1,8,1026.6,0
2/1/2009,8,-2.4,91,-6.4,11,1026.8,0
2/1/2009,9,-1.9,91,-4.6,7,1027,0
2/1/2009,10,-1.1,90,-4.3,9,1027.1,0
2/1/2009,11,-0.2,88,-3.8,11,1027.5,0
2/1/2009,12,0.7,81,-3.2,13,1027.4,0
2/1/2009,13,1.3,75,-3.2,17,1027.3,0
2/1/2009,14,2.2,66,-1.7,15,1026.8,0
2/1/2009,15,2,66,-1.6,13,1026.7,0
2/1/2009,16,1.8,68,-2.5,17,1026.8,0
2/1/2009,17,1.9,66,-2.1,15,1026.9,0
2/1/2009,18,1.8,64,-1.8,13,1027.1,0
2/1/2009,19,1.8,67,-1.8,13,1027.3,0
2/1/2009,20,1.7,70,-2.3,15,1027.3,0
2/1/2009,21,1.4,74,-2.3,13,1027.3,0
2/1/2009,22,1.2,78,-3.3,17,1027.4,0
2/1/2009,23,0.5,81,-3,11,1027.3,0
3/1/2009,0,0.4,82,-3.9,15,1027.4,0
3/1/2009,1,0.4,81,-4.3,17,1027.4,0
3/1/2009,2,0.1,80,-5.1,20,1027.3,0
3/1/2009,3,-0.5,80,-5.9,20,1027.1,0
3/1/2009,4,-0.5,80,-5.4,17,1027.3,0
3/1/2009,5,-0.4,78,-4.9,15,1026.8,0
3/1/2009,6,-0.5,78,-5,15,1026.7,0
3/1/2009,7,-1.2,81,-5,11,1026.7,0
3/1/2009,8,-1.4,82,-5.2,11,1026.8,0
3/1/2009,9,-1.4,82,-5.7,13,1027,0
3/1/2009,10,-1,79,-5.2,13,1027.1,0
3/1/2009,11,-0.2,73,-4.7,15,1027.2,0
3/1/2009,12,0.5,69,-3.4,13,1026.9,0
3/1/2009,13,1.6,63,-1.7,11,1026.3,0
3/1/2009,14,1.7,63,-2.3,15,1025.7,0
3/1/2009,15,1.5,63,-2.6,15,1025.5,0
3/1/2009,16,1.1,64,-3.1,15,1025.8,0
3/1/2009,17,0.4,68,-2.6,9,1025.9,0
3/1/2009,18,-0.1,70,-4.1,13,1026.1,0
3/1/2009,19,-0.4,70,-4.5,13,1026.2,0
3/1/2009,20,-1,75,-4.8,11,1026.3,0
3/1/2009,21,-1.4,79,-5.2,11,1026.9,0
3/1/2009,22,-1.9,81,-4.2,6,1026.9,0
3/1/2009,23,-2.1,82,-4.8,7,1026.9,0
4/1/2009,0,-2.5,82,-4.9,6,1026.9,0
4/1/2009,1,-2.7,83,-2.7,2,1026.6,0
4/1/2009,2,-2.9,82,-5.3,6,1026.2,0
4/1/2009,3,-2.9,82,-5.3,6,1025.9,0
4/1/2009,4,-3.2,82,-5.7,6,1026,0
4/1/2009,5,-3.2,81,-6.8,9,1026.1,0
4/1/2009,6,-3.5,82,-6.4,7,1026,0
4/1/2009,7,-3.8,82,-7.2,8,1025.8,0
4/1/2009,8,-4.3,84,-6.9,6,1025.8,0
4/1/2009,9,-4.1,84,-6.7,6,1025.9,0
4/1/2009,10,-3.2,79,-5.7,6,1026,0
4/1/2009,11,-2.2,73,-4.5,6,1025.9,0
4/1/2009,12,-1.3,67,-1.3,2,1025.3,0
4/1/2009,13,-0.2,59,-1.3,4,1024.6,0
4/1/2009,14,0.6,55,-1.3,6,1024.1,0
4/1/2009,15,0.7,55,-0.3,4,1023.6,0
4/1/2009,16,0.4,59,-1.6,6,1023.5,0
