date,Heurelocale,Température,Humidité,Windchill,Vent,Pression,Précip.
1/1/2014,0,7.2,89,5.4,9,1011.2,0
1/1/2014,1,7.4,87,5.3,11,1011.1,0
1/1/2014,2,7,90,4.8,11,1011.4,0
1/1/2014,3,6.9,86,4.7,11,1011.6,0
1/1/2014,4,7.2,88,5,11,1011.7,0
1/1/2014,5,7,87,4.1,15,1011.5,0
1/1/2014,6,7,87,4.8,11,1011,0
1/1/2014,7,7,87,4.8,11,1010.5,0
1/1/2014,8,7.1,88,4.6,13,1009.9,0
1/1/2014,9,7.3,89,5.1,11,1009.5,0
1/1/2014,10,7.7,89,4.7,17,1009.2,0
1/1/2014,11,8.1,87,5,19,1008.4,0
1/1/2014,12,8.7,84,5.7,19,1007.4,0
1/1/2014,13,9.1,82,6.1,20,1005.9,0
1/1/2014,14,9.3,81,6.7,17,1005,0
1/1/2014,15,9.8,80,7,20,1003.7,0
1/1/2014,16,10.4,78,7.8,20,1002.7,0
1/1/2014,17,10.7,75,8.2,19,1001.8,0
1/1/2014,18,10.4,79,7.9,19,1001.1,0
1/1/2014,19,9.7,86,6.7,22,1000,0.6
1/1/2014,20,9.5,87,6.6,20,999.5,0.4
1/1/2014,21,9.5,86,6.7,19,998.7,0.4
1/1/2014,22,10.3,82,7.1,26,998,0
1/1/2014,23,10.3,83,7.1,26,997.1,0
2/1/2014,0,10.4,84,7.4,24,996.5,0
2/1/2014,1,10.8,83,7.9,24,996.2,0
2/1/2014,2,10.8,84,7.9,24,995.6,0
2/1/2014,3,10.9,81,7.8,28,995.7,0
2/1/2014,4,9.5,83,7.2,15,995.8,0.4
2/1/2014,5,9.6,90,7.1,17,995.4,0.4
2/1/2014,6,10.4,83,7.4,24,996,0
2/1/2014,7,10.3,84,8,17,997.7,0
2/1/2014,8,9.4,89,7.7,11,999.4,2
2/1/2014,9,8.5,86,6.6,11,1001.1,0
2/1/2014,10,8.6,83,7.1,9,1002.6,0
2/1/2014,11,9.7,77,7.4,15,1003.9,0
2/1/2014,12,10.2,76,8.3,13,1004.5,0
2/1/2014,13,10.7,74,9.5,9,1004.2,0
2/1/2014,14,10.9,72,8.9,15,1004.7,0
2/1/2014,15,11.2,70,9.8,11,1004.9,0
2/1/2014,16,11,70,8.8,17,1005.7,0
2/1/2014,17,10.1,77,8.2,13,1005.7,0
2/1/2014,18,9.2,83,7.8,9,1005.9,0
2/1/2014,19,9.2,86,7.8,9,1006,0
2/1/2014,20,9.2,85,7.8,9,1006.2,0
2/1/2014,21,9.5,85,7.5,13,1006.2,0
2/1/2014,22,9.6,88,7.9,11,1006,0
2/1/2014,23,9.8,87,8.1,11,1005.5,0
3/1/2014,0,9.7,88,7,19,1005,0
3/1/2014,1,9.6,87,7.3,15,1005,0
3/1/2014,2,9.8,82,7.1,19,1004.2,0
3/1/2014,3,9.8,80,7.6,15,1003.6,0
3/1/2014,4,10.6,78,8,20,1003,0
3/1/2014,5,10.8,81,8.3,20,1003,0
3/1/2014,6,10.4,86,7.8,20,1003,0
3/1/2014,7,11,87,8.5,20,1003.3,0
3/1/2014,8,11.5,85,9.2,19,1003.8,0
3/1/2014,9,11.4,86,9.5,15,1004.2,0
3/1/2014,10,11.9,83,9.6,20,1004.8,0
3/1/2014,11,13,75,11,20,1005.8,0.2
3/1/2014,12,13.3,74,11.1,24,1005.8,0
3/1/2014,13,13.5,71,11.2,26,1005.3,0
3/1/2014,14,13.2,71,10.8,26,1005.6,0
3/1/2014,15,13.4,70,11,28,1005.3,0
3/1/2014,16,13.2,70,10.8,26,1005.8,0
3/1/2014,17,12.5,66,9.8,28,1007.2,0
3/1/2014,18,11.8,60,9.5,20,1007.8,0
3/1/2014,19,10.6,60,7.7,24,1009.1,0
3/1/2014,20,9.8,67,7,20,1010.3,0
3/1/2014,21,9.3,70,6.7,17,1010.8,0
3/1/2014,22,9,74,5.8,22,1011.2,0
